consulta,categoria,id_correcto,archivo,h1_top1,h1_top5,h1_tiempo_ms,h1_mejor_id,h1_mejor_score,h1_n_resultados,h2_top1,h2_top5,h2_tiempo_ms,h2_mejor_id,h2_mejor_score,h2_n_resultados,h2oc_top1,h2oc_top5,h2oc_tiempo_ms,h2oc_mejor_id,h2oc_mejor_score,h2oc_n_resultados,h2fu_top1,h2fu_top5,h2fu_tiempo_ms,h2fu_mejor_id,h2fu_mejor_score,h2fu_n_resultados
c01_exacta.jpg,exacta,AIM-P001-001,c01_exacta.jpg,SI,SI,313.5,AIM-P001-001,0.9986,5,SI,SI,4201.4,AIM-P001-001,1.0599,1,-,-,-,-,-,-,SI,SI,12602.6,AIM-P001-001,1.0599,1
c01_sin_marco.jpg,sin_marco,AIM-P001-001,c01_sin_marco.jpg,SI,SI,211.5,AIM-P001-001,0.9908,5,SI,SI,392.5,AIM-P001-001,1.057,1,-,-,-,-,-,-,SI,SI,5901.6,AIM-P001-001,1.057,1
c01_recoloreada.jpeg,recoloreada,AIM-P001-001,c01_recoloreada.jpeg,SI,SI,224.7,AIM-P001-001,0.924,5,SI,SI,418.3,AIM-P001-001,0.8541,1,-,-,-,-,-,-,SI,SI,6933.0,AIM-P001-001,0.8541,1
c01_recortada.jpg,recortada,AIM-P001-001,c01_recortada.jpg,no,no,221.5,AIM-P094-035,0.836,5,no,no,634.8,AIM-P094-035,0.7974,3,-,-,-,-,-,-,SI,SI,8864.6,AIM-P001-001,0.8743,4
c01_persona.jpeg,persona,AIM-P001-001,c01_persona.jpeg,no,no,206.5,AIM-P170-053,0.7501,5,no,no,1078.4,AIM-P170-053,0.7176,5,-,-,-,-,-,-,SI,SI,7988.3,AIM-P001-001,0.7086,3
c02_exacta.jpg,exacta,AIM-P001-002,c02_exacta.jpg,SI,SI,236.7,AIM-P001-002,0.9959,5,SI,SI,1494.9,AIM-P001-002,1.0596,1,-,-,-,-,-,-,SI,SI,11742.2,AIM-P001-002,1.0596,1
c02_sin_marco.jpg,sin_marco,AIM-P001-002,c02_sin_marco.jpg,SI,SI,222.4,AIM-P001-002,0.9812,5,SI,SI,469.2,AIM-P001-002,1.0571,1,-,-,-,-,-,-,SI,SI,5644.7,AIM-P001-002,1.0571,1
c02_recoloreada.jpeg,recoloreada,AIM-P001-002,c02_recoloreada.jpeg,no,no,261.7,AIM-P072-041,0.8721,5,no,no,1176.2,AIM-P072-041,0.8469,4,-,-,-,-,-,-,SI,SI,9197.1,AIM-P001-002,1.0506,1
c02_recortada.jpg,recortada,AIM-P001-002,c02_recortada.jpg,SI,SI,206.4,AIM-P001-002,0.8603,5,SI,SI,734.9,AIM-P001-002,0.9109,2,-,-,-,-,-,-,SI,SI,7131.1,AIM-P001-002,0.9109,1
c02_persona.jpeg,persona,AIM-P001-002,c02_persona.jpeg,no,no,231.0,AIM-P073-055,0.7722,5,no,no,931.6,AIM-P073-055,0.7258,4,-,-,-,-,-,-,SI,SI,8049.7,AIM-P001-002,0.7463,3
c03_exacta.jpg,exacta,AIM-P001-003,c03_exacta.jpg,SI,SI,218.9,AIM-P001-003,0.9974,5,SI,SI,1454.9,AIM-P001-003,1.0599,1,-,-,-,-,-,-,SI,SI,11790.0,AIM-P001-003,1.0599,1
c03_sin_marco.jpg,sin_marco,AIM-P001-003,c03_sin_marco.jpg,SI,SI,240.4,AIM-P001-003,0.9974,5,SI,SI,431.5,AIM-P001-003,1.0599,1,-,-,-,-,-,-,SI,SI,5677.0,AIM-P001-003,1.0599,1
c03_recoloreada.jpeg,recoloreada,AIM-P001-003,c03_recoloreada.jpeg,no,SI,290.6,AIM-P092-047,0.7616,5,no,SI,1168.7,AIM-P092-047,0.7676,5,-,-,-,-,-,-,SI,SI,9652.6,AIM-P001-003,0.8864,1
c03_recortada.jpg,recortada,AIM-P001-003,c03_recortada.jpg,no,no,228.3,AIM-P016-022,0.7815,5,no,no,928.0,AIM-P016-022,0.7469,5,-,-,-,-,-,-,no,SI,8072.9,AIM-P140-034,0.7629,5
c03_persona.jpeg,persona,AIM-P001-003,c03_persona.jpeg,no,no,264.8,AIM-P254-033,0.7216,5,no,no,1082.2,AIM-P254-033,0.7828,3,-,-,-,-,-,-,no,SI,8740.9,AIM-P210-060,0.7146,5
c04_exacta.jpg,exacta,AIM-P001-004,c04_exacta.jpg,SI,SI,227.6,AIM-P001-004,0.9993,5,SI,SI,1158.3,AIM-P001-004,1.06,1,-,-,-,-,-,-,SI,SI,7654.4,AIM-P001-004,1.06,1
c04_sin_marco.jpg,sin_marco,AIM-P001-004,c04_sin_marco.jpg,SI,SI,232.8,AIM-P001-004,0.9993,5,SI,SI,388.4,AIM-P001-004,1.06,1,-,-,-,-,-,-,SI,SI,4877.1,AIM-P001-004,1.06,1
c04_recoloreada.jpeg,recoloreada,AIM-P001-004,c04_recoloreada.jpeg,SI,SI,181.1,AIM-P001-004,0.9369,5,SI,SI,908.7,AIM-P001-004,0.9336,1,-,-,-,-,-,-,SI,SI,6894.2,AIM-P001-004,0.9336,1
c04_recortada.jpg,recortada,AIM-P001-004,c04_recortada.jpg,no,no,194.2,AIM-P004-058,0.8719,5,no,no,540.6,AIM-P004-058,0.7369,5,-,-,-,-,-,-,no,no,6373.9,AIM-P004-058,0.7369,5
c04_persona.jpeg,persona,AIM-P001-004,c04_persona.jpeg,no,no,225.8,AIM-P083-060,0.7876,5,no,no,767.9,AIM-P083-060,0.7366,1,-,-,-,-,-,-,SI,SI,7734.6,AIM-P001-004,0.7756,4
c05_exacta.jpg,exacta,AIM-P001-005,c05_exacta.jpg,SI,SI,197.2,AIM-P001-005,0.9975,5,SI,SI,1550.3,AIM-P001-005,1.0597,1,-,-,-,-,-,-,SI,SI,10055.7,AIM-P001-005,1.0597,1
c05_sin_marco.jpg,sin_marco,AIM-P001-005,c05_sin_marco.jpg,SI,SI,256.9,AIM-P001-005,0.9975,5,SI,SI,478.4,AIM-P001-005,1.0597,1,-,-,-,-,-,-,SI,SI,5268.5,AIM-P001-005,1.0597,1
c05_recoloreada.jpeg,recoloreada,AIM-P001-005,c05_recoloreada.jpeg,SI,SI,250.3,AIM-P001-005,0.8291,5,SI,SI,1248.2,AIM-P001-005,0.9148,1,-,-,-,-,-,-,SI,SI,8105.3,AIM-P001-005,0.9148,1
c05_recortada.jpg,recortada,AIM-P001-005,c05_recortada.jpg,no,no,192.8,AIM-P064-013,0.776,5,no,no,622.2,AIM-P064-013,0.8363,5,-,-,-,-,-,-,no,no,7424.2,AIM-P049-049,0.8648,5
c05_persona.jpeg,persona,AIM-P001-005,c05_persona.jpeg,no,no,260.7,AIM-P211-007,0.6657,5,no,no,553.3,AIM-P211-007,0.732,5,-,-,-,-,-,-,SI,SI,7196.8,AIM-P001-005,0.7503,1
c06_exacta.jpg,exacta,AIM-P001-006,c06_exacta.jpg,SI,SI,217.2,AIM-P001-006,0.9988,5,SI,SI,1194.6,AIM-P001-006,1.0599,1,-,-,-,-,-,-,SI,SI,8469.4,AIM-P001-006,1.0599,1
c06_sin_marco.jpg,sin_marco,AIM-P001-006,c06_sin_marco.jpg,SI,SI,216.8,AIM-P001-006,0.9256,5,SI,SI,544.6,AIM-P001-006,1.0234,1,-,-,-,-,-,-,SI,SI,6204.4,AIM-P001-006,1.0234,1
c06_recoloreada.jpeg,recoloreada,AIM-P001-006,c06_recoloreada.jpeg,no,no,183.1,AIM-P013-008,0.8649,5,no,SI,884.8,AIM-P013-008,0.7428,4,-,-,-,-,-,-,SI,SI,6783.4,AIM-P001-006,1.0078,1
c06_recortada.jpg,recortada,AIM-P001-006,c06_recortada.jpg,no,SI,208.4,AIM-P045-003,0.7819,5,no,SI,618.8,AIM-P045-003,0.7735,5,-,-,-,-,-,-,no,no,6821.4,AIM-P015-042,0.7898,5
c06_persona.jpeg,persona,AIM-P001-006,c06_persona.jpeg,no,no,192.3,AIM-P052-008,0.7465,5,no,no,554.5,AIM-P052-008,0.7774,4,-,-,-,-,-,-,SI,SI,5795.8,AIM-P001-006,0.7608,1
c07_exacta.jpg,exacta,AIM-P001-007,c07_exacta.jpg,SI,SI,214.4,AIM-P001-007,0.9981,5,SI,SI,1322.2,AIM-P001-007,1.0447,1,-,-,-,-,-,-,SI,SI,8648.1,AIM-P001-007,1.0447,1
c07_sin_marco.jpg,sin_marco,AIM-P001-007,c07_sin_marco.jpg,SI,SI,218.7,AIM-P001-007,0.9748,5,SI,SI,576.5,AIM-P001-007,1.0223,1,-,-,-,-,-,-,SI,SI,5901.3,AIM-P001-007,1.0223,1
c07_recoloreada.jpeg,recoloreada,AIM-P001-007,c07_recoloreada.jpeg,SI,SI,234.8,AIM-P001-007,0.8599,5,SI,SI,746.8,AIM-P001-007,0.9471,1,-,-,-,-,-,-,SI,SI,6881.4,AIM-P001-007,0.9471,1
c07_recortada.jpg,recortada,AIM-P001-007,c07_recortada.jpg,no,no,217.1,AIM-P026-016,0.8538,5,no,no,694.6,AIM-P026-016,0.7959,3,-,-,-,-,-,-,no,no,6511.1,AIM-P096-015,0.8107,5
c07_persona.jpeg,persona,AIM-P001-007,c07_persona.jpeg,no,no,184.2,AIM-P016-030,0.7379,5,no,no,603.2,AIM-P016-030,0.7087,5,-,-,-,-,-,-,SI,SI,6696.8,AIM-P001-007,0.7351,1
