id,w,h,n_bandas,cabecera_y,principal_y,pie_y,marco_izq_der_sup_inf,logo,frente_x,espalda_x,recorte_frac,formato
AIM-P001-001.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.566,0.569-0.973,0.494,"(3, 1, 1, 1, 0)"
AIM-P001-002.jpg,700,560,3,0.029-0.171,0.211-0.839,0.871-0.970,0/0/0/0,si,0.167-0.566,0.569-0.974,0.490,"(3, 1, 1, 1, 0)"
AIM-P001-003.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.567,0.570-0.973,0.494,"(3, 1, 1, 1, 0)"
AIM-P001-004.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.566,0.569-0.980,0.489,"(3, 1, 1, 1, 0)"
AIM-P001-005.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.563,0.566-0.973,0.493,"(3, 1, 1, 1, 0)"
AIM-P001-006.jpg,4096,3277,3,0.028-0.171,0.209-0.839,0.871-0.969,0/0/0/0,si,0.166-0.566,0.567-0.977,0.489,"(3, 1, 1, 1, 0)"
AIM-P001-007.jpg,700,560,3,0.027-0.170,0.211-0.839,0.870-0.968,0/0/0/0,si,0.169-0.570,0.573-0.980,0.488,"(3, 1, 1, 1, 0)"
AIM-P001-008.jpg,700,560,3,0.027-0.170,0.211-0.839,0.870-0.968,0/0/0/0,si,0.167-0.573,0.576-0.977,0.489,"(3, 1, 1, 1, 0)"
AIM-P001-009.jpg,700,560,3,0.027-0.170,0.211-0.839,0.870-0.968,0/0/0/0,si,0.170-0.569,0.571-0.973,0.493,"(3, 1, 1, 1, 0)"
AIM-P001-010.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.570,0.573-0.980,0.489,"(3, 1, 1, 1, 0)"
AIM-P001-011.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.567,0.570-0.979,0.490,"(3, 1, 1, 1, 0)"
AIM-P001-012.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.033-0.204,0.261-0.980,0.404,"(3, 1, 1, 1, 0)"
AIM-P001-013.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.564,0.567-0.979,0.489,"(3, 1, 1, 1, 0)"
AIM-P001-014.jpg,700,560,3,0.027-0.170,0.209-0.838,0.870-0.968,0/0/0/0,si,0.169-0.567,0.570-0.971,0.493,"(3, 1, 1, 1, 0)"
AIM-P001-015.jpg,700,560,3,0.027-0.170,0.211-0.839,0.870-0.968,0/0/0/0,si,0.167-0.569,0.571-0.977,0.489,"(3, 1, 1, 1, 0)"
AIM-P001-016.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.570,0.573-0.973,0.494,"(3, 1, 1, 1, 0)"
AIM-P001-017.jpg,700,560,3,0.027-0.170,0.209-0.838,0.870-0.968,0/0/0/0,si,0.169-0.566,0.569-0.971,0.493,"(3, 1, 1, 1, 0)"
AIM-P001-018.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.273-0.466,0.549-0.976,0.557,"(3, 1, 1, 1, 0)"
AIM-P001-019.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.567,0.570-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P001-020.jpg,700,560,3,0.029-0.171,0.211-0.839,0.871-0.970,0/0/0/0,si,0.169-0.567,0.570-0.976,0.490,"(3, 1, 1, 1, 0)"
AIM-P001-021.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.503,0.506-0.979,0.489,"(3, 1, 1, 1, 0)"
AIM-P001-022.jpg,4096,3277,3,0.028-0.171,0.209-0.839,0.871-0.969,0/0/0/0,si,0.166-0.566,0.567-0.976,0.490,"(3, 1, 1, 1, 0)"
AIM-P001-023.jpg,700,560,3,0.027-0.170,0.209-0.839,0.868-0.970,0/0/0/0,si,0.169-0.570,0.573-0.980,0.486,"(3, 1, 1, 1, 0)"
AIM-P001-024.jpg,700,560,3,0.027-0.170,0.211-0.839,0.870-0.968,0/0/0/0,si,0.167-0.571,0.574-0.970,0.493,"(3, 1, 1, 1, 0)"
AIM-P001-025.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.567,0.570-0.977,0.491,"(3, 1, 1, 1, 0)"
AIM-P001-026.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.563,0.566-0.973,0.493,"(3, 1, 1, 1, 0)"
AIM-P001-027.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.564,0.567-0.971,0.494,"(3, 1, 1, 1, 0)"
AIM-P001-028.jpg,700,560,3,0.027-0.170,0.211-0.839,0.870-0.968,0/0/0/0,si,0.167-0.570,0.573-0.970,0.493,"(3, 1, 1, 1, 0)"
AIM-P001-029.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.570,0.573-0.980,0.489,"(3, 1, 1, 1, 0)"
AIM-P001-030.png,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.973,0.493,"(3, 1, 1, 1, 0)"
