id,estado,motivo,dimensiones_normalizada,guardada,frente_detectado,espalda_detectada
AIM-P001-001.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",546x352,ok-saved,si,si
AIM-P001-002.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",551x353,ok-saved,si,si
AIM-P001-003.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",544x352,ok-saved,si,si
AIM-P001-004.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",548x352,ok-saved,si,si
AIM-P001-005.jpg,ok,"logo separado de bloque ancho x[14:115] | frente/espalda fusionados, separados en x=395",545x352,ok-saved,si,si
AIM-P001-006.jpg,ok,"logo separado de bloque ancho x[87:679] | frente/espalda fusionados, separados en x=2320",700x453,ok-saved,si,si
AIM-P001-007.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",564x353,ok-saved,si,si
AIM-P001-008.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=402",564x353,ok-saved,si,si
AIM-P001-009.jpg,ok,"logo separado de bloque ancho x[15:117] | frente/espalda fusionados, separados en x=399",548x353,ok-saved,si,si
AIM-P001-010.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",552x352,ok-saved,si,si
AIM-P001-011.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",553x352,ok-saved,si,si
AIM-P001-012.jpg,ok,logo separado de bloque ancho x[15:21],658x352,ok-saved,si,si
AIM-P001-013.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=396",547x352,ok-saved,si,si
AIM-P001-014.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",547x353,ok-saved,si,si
AIM-P001-015.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=399",561x353,ok-saved,si,si
AIM-P001-016.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",549x352,ok-saved,si,si
AIM-P001-017.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",542x353,ok-saved,si,si
AIM-P001-018.jpg,ok,logo descartado x[15:140],485x352,ok-saved,si,si
AIM-P001-019.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=398",551x352,ok-saved,si,si
AIM-P001-020.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",554x353,ok-saved,si,si
AIM-P001-021.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=353",541x352,ok-saved,si,si
AIM-P001-022.jpg,ok,"logo separado de bloque ancho x[87:679] | frente/espalda fusionados, separados en x=2320",700x453,ok-saved,si,si
AIM-P001-023.jpg,ok,"logo separado de bloque ancho x[14:116] | frente/espalda fusionados, separados en x=400",564x354,ok-saved,si,si
AIM-P001-024.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=401",557x353,ok-saved,si,si
AIM-P001-025.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",551x352,ok-saved,si,si
AIM-P001-026.jpg,ok,"logo separado de bloque ancho x[14:115] | frente/espalda fusionados, separados en x=395",545x352,ok-saved,si,si
AIM-P001-027.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=396",545x352,ok-saved,si,si
AIM-P001-028.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=400",540x353,ok-saved,si,si
AIM-P001-029.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",554x352,ok-saved,si,si
AIM-P001-030.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P001-031.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",547x352,ok-saved,si,si
AIM-P001-032.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",545x353,ok-saved,si,si
AIM-P001-033.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",549x352,ok-saved,si,si
AIM-P001-034.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",554x353,ok-saved,si,si
AIM-P001-035.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=400",551x352,ok-saved,si,si
AIM-P001-036.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=396",548x353,ok-saved,si,si
AIM-P001-037.jpg,ok,"logo separado de bloque ancho x[15:117] | frente/espalda fusionados, separados en x=400",555x353,ok-saved,si,si
