id,proveedor,pagina,imagen,nombre_original,url
AIM-P001-001,Designs Aimari,1,AIM-P001-001.jpg,Dragon Ball Concept Galaxi,https://media.designsaimari.com/products/cmsqg8lp10zplqm01k7buckpr/previews/1786560944855-a45b3877-c1a6-441f-b334-8a038114a9d4.jpg
AIM-P001-002,Designs Aimari,1,AIM-P001-002.jpg,Jersey Colombia Blanco and Dorado,https://media.designsaimari.com/products/cmsqf7qjx0z0iqm01f83yh5s0/previews/1786559192394-78d4b701-9a2d-42f9-b740-e0d1d83fd733.jpg
AIM-P001-003,Designs Aimari,1,AIM-P001-003.jpg,Bournemout Design Concept 2026,https://media.designsaimari.com/products/cmsqezwl60xpnpr01xfobpvna/previews/1786558826676-f0b80fae-44a2-47e8-8478-f08f046356a7.jpg
AIM-P001-004,Designs Aimari,1,AIM-P001-004.jpg,Esmeralda Flow Cream,https://media.designsaimari.com/products/cmsqclho60w9tpr01vpp03dvk/previews/1786554794807-b3ebb65b-7990-47ea-bb6f-f8f0eef3abd6.jpg
AIM-P001-005,Designs Aimari,1,AIM-P001-005.jpg,Real Cartagena 2026 Home,https://media.designsaimari.com/products/cmsqasyzg0v9hpr01f3bdkoeb/previews/1786551787789-1188eafd-040b-4acb-a1a7-74b3d8e723bf.jpg
AIM-P001-006,Designs Aimari,1,AIM-P001-006.jpg,CATARATA VELO DE NOVIA,https://media.designsaimari.com/products/cmsqah5qx0wk8qm019xjq61bq/previews/1786551259200-55b94ba8-b865-4252-80d2-1fbd84621cfa.jpg
AIM-P001-007,Designs Aimari,1,AIM-P001-007.jpg,Los Troncos FC Concept,https://media.designsaimari.com/products/cmsq9l5810vz5qm01g98u34bc/previews/1786549774849-7f94a9bd-6dcb-4868-a5a1-192310d1c617.jpg
AIM-P001-008,Designs Aimari,1,AIM-P001-008.jpg,Jersey Portero Algeria 2026,https://media.designsaimari.com/products/cmsq902y90u72pr01mirshx0n/previews/1786548757185-4f6b6cfa-053a-4c1c-9759-e87086e508aa.jpg
AIM-P001-009,Designs Aimari,1,AIM-P001-009.jpg,Capitán Tsubasa Blue Design,https://media.designsaimari.com/products/cmsq7vdc60v27qm01gcj7pi37/previews/1786546864825-cc7df7d7-2735-44f1-a1f9-786126f0dd6d.jpg
AIM-P001-010,Designs Aimari,1,AIM-P001-010.jpg,Musical Blue Gold,https://media.designsaimari.com/products/cmspwvo5y0rkvqm01kl9n190d/previews/1786528395853-07beaa50-b4a7-41cf-b7bc-e50a0d7183b6.jpg
